posting_year,city,company_size,industry,job_title,seniority_level,ai_intensity_score,salary_usd,automation_risk_score,ai_job_displacement_risk,industry_ai_adoption_stage
2014,Lagos,Large,Agriculture,Product Manager,Mid,0.16,69102,0.79,Medium,Emerging
2015,Singapore,Large,Healthcare,Business Analyst,Executive,0.05,58710,0.83,Low,Emerging
2013,Dubai,Medium,Manufacturing,Policy Analyst,Senior,0.04,63061,0.82,High,Emerging
2013,Toronto,Enterprise,Tech,Research Scientist,Senior,0.04,38569,0.86,Medium,Emerging
2024,Singapore,Enterprise,Tech,Software Engineer,Senior,0.85,138748,0.11,Low,Mature
2024,Tokyo,Large,Energy,Business Analyst,Senior,0.5,40204,0.32,Low,Growing
2013,Dubai,Large,Tech,Research Scientist,Executive,0.19,21909,0.62,Medium,Emerging
2011,Nairobi,Enterprise,Healthcare,Business Analyst,Junior,0.05,75313,0.77,High,Emerging
2025,Berlin,Medium,Tech,ML Engineer,Lead,0.13,94459,0.72,Medium,Mature
2023,Paris,Enterprise,Agriculture,Business Analyst,Senior,0.58,110516,0.21,Medium,Growing
2010,Dubai,Small,Education,AI Researcher,Lead,0.02,22997,0.67,Medium,Emerging
2025,Singapore,Startup,Government,Research Scientist,Junior,0.14,78190,0.66,Low,Growing
2022,Nairobi,Large,Education,ML Engineer,Executive,0.93,39698,0.15,High,Growing
2014,Sao Paulo,Startup,Education,Data Scientist,Intern,0,78534,0.79,High,Emerging
2013,London,Small,Agriculture,Operations Manager,Lead,0.12,60542,0.84,High,Emerging
2022,Seoul,Enterprise,Energy,AI Researcher,Junior,0.45,73543,0.2,High,Growing
2010,Dubai,Enterprise,Education,Policy Analyst,Mid,0.16,65776,0.69,Low,Emerging
2022,Sydney,Startup,Retail,Research Scientist,Executive,0.16,26796,0.77,Medium,Growing
2022,Sydney,Medium,Retail,Software Engineer,Intern,0.64,112930,0.13,High,Growing
2010,Dubai,Large,Manufacturing,ML Engineer,Junior,0.02,22406,0.89,Low,Emerging
2019,Toronto,Startup,Government,Business Analyst,Intern,0.19,67708,0.79,High,Growing
2020,Nairobi,Large,Education,Software Engineer,Lead,0.93,118437,0.18,High,Growing
2016,Berlin,Medium,Government,Business Analyst,Executive,0.01,39093,0.8,High,Emerging
2011,Berlin,Enterprise,Retail,Product Manager,Senior,0.18,50011,0.8,Low,Emerging
2024,Seoul,Large,Retail,Business Analyst,Mid,0.67,121289,0.13,Medium,Growing
2019,Singapore,Startup,Tech,AI Researcher,Senior,0.91,38125,0.27,High,Growing
2023,London,Startup,Energy,Product Manager,Junior,0.04,26913,0.62,High,Growing
2021,London,Large,Retail,Software Engineer,Junior,0.16,77670,0.78,High,Growing
2022,Seoul,Small,Energy,Operations Manager,Junior,0.56,94889,0.29,High,Growing
2025,Lagos,Startup,Healthcare,Research Scientist,Intern,0.55,112909,0.24,Medium,Growing
2013,Seoul,Medium,Education,AI Researcher,Executive,0.01,18223,0.63,Low,Emerging
2021,Seoul,Medium,Agriculture,Systems Engineer,Intern,0.03,106478,0.77,Medium,Growing
2014,Lagos,Large,Manufacturing,Operations Manager,Senior,0.02,67044,0.72,High,Emerging
2022,Berlin,Large,Education,Data Scientist,Intern,0.1,45070,0.76,Low,Growing
2023,Singapore,Small,Education,Product Manager,Executive,0.06,46384,0.63,High,Growing
2013,Lagos,Small,Tech,Systems Engineer,Executive,0.03,55025,0.6,Low,Emerging
2021,London,Small,Manufacturing,Operations Manager,Mid,0.16,51779,0.8,Low,Growing
2013,Paris,Medium,Energy,Business Analyst,Junior,0.06,34027,0.63,Low,Emerging
2017,Singapore,Enterprise,Government,Software Engineer,Intern,0.91,82883,0.27,Low,Growing
2023,Paris,Large,Energy,Research Scientist,Executive,0.57,107392,0.34,Low,Growing
2013,Lagos,Enterprise,Government,ML Engineer,Senior,0.06,40916,0.64,Low,Emerging
2020,Paris,Medium,Energy,Operations Manager,Lead,0.05,51984,0.75,Low,Growing
2010,Seoul,Startup,Tech,AI Researcher,Mid,0.09,33771,0.88,Low,Emerging
2011,Bangalore,Small,Healthcare,Software Engineer,Lead,0.2,23406,0.74,High,Emerging
2021,New York,Small,Government,Data Scientist,Mid,0.11,26065,0.88,Low,Growing
2025,Singapore,Small,Tech,Research Scientist,Intern,0.91,40895,0.31,High,Mature
2018,Tokyo,Large,Retail,ML Engineer,Intern,0.15,21101,0.62,Low,Growing
2024,New York,Large,Manufacturing,ML Engineer,Intern,0.49,41979,0.31,Medium,Growing
2022,New York,Enterprise,Government,ML Engineer,Junior,0.05,80670,0.64,Low,Growing
2012,Sydney,Startup,Retail,Systems Engineer,Executive,0.09,28632,0.85,Medium,Emerging
2017,Tokyo,Large,Manufacturing,Systems Engineer,Executive,0.11,73544,0.64,High,Growing
2015,Toronto,Medium,Tech,ML Engineer,Intern,0.01,69145,0.84,Low,Emerging
2015,Lagos,Small,Healthcare,Research Scientist,Junior,0.16,66999,0.61,Low,Emerging
2025,Seoul,Medium,Tech,Data Scientist,Junior,0.04,23206,0.88,Medium,Mature
2019,Singapore,Small,Retail,AI Researcher,Executive,0.15,43608,0.75,Low,Growing
2015,Tokyo,Enterprise,Retail,ML Engineer,Executive,0.11,71536,0.82,Medium,Emerging
2012,Berlin,Medium,Retail,Systems Engineer,Mid,0.14,16493,0.73,Low,Emerging
2018,Sao Paulo,Startup,Finance,ML Engineer,Intern,0.73,125663,0.11,Medium,Growing
2019,Sao Paulo,Small,Manufacturing,Software Engineer,Intern,0.43,98366,0.35,Low,Growing
2025,New York,Startup,Manufacturing,Operations Manager,Mid,0.08,76664,0.66,High,Growing
2023,Seoul,Enterprise,Education,Software Engineer,Senior,0.71,62708,0.22,Low,Growing
2016,Sydney,Enterprise,Healthcare,Policy Analyst,Senior,0.18,46431,0.72,Low,Emerging
2013,Bangalore,Enterprise,Finance,Research Scientist,Lead,0.16,72609,0.86,High,Emerging
2020,Bangalore,Startup,Education,Operations Manager,Executive,0.18,101838,0.85,High,Growing
2023,Paris,Small,Finance,Policy Analyst,Lead,0.85,39098,0.19,Low,Mature
2011,New York,Small,Retail,Operations Manager,Lead,0.16,72210,0.64,High,Emerging
2022,Tokyo,Small,Tech,Policy Analyst,Intern,0.16,62172,0.67,High,Mature
2019,Paris,Large,Manufacturing,Data Scientist,Lead,0.17,22578,0.69,Medium,Growing
2020,Tokyo,Medium,Manufacturing,Product Manager,Executive,0.19,27181,0.76,Medium,Growing
2016,Bangalore,Small,Retail,Business Analyst,Intern,0.13,64427,0.71,Low,Emerging
2019,Sao Paulo,Medium,Energy,AI Researcher,Lead,0.12,22611,0.62,Medium,Growing
2016,Berlin,Large,Retail,Product Manager,Executive,0.18,81136,0.86,Medium,Emerging
2025,Singapore,Small,Finance,Data Scientist,Executive,0.4,123034,0.39,Low,Mature
2015,Sao Paulo,Startup,Finance,Operations Manager,Mid,0.06,79859,0.7,Low,Emerging
2010,Nairobi,Small,Agriculture,Software Engineer,Executive,0.14,19577,0.79,Medium,Emerging
2018,Lagos,Small,Government,Software Engineer,Lead,0.63,53486,0.29,Medium,Growing
2016,Singapore,Large,Retail,Data Scientist,Executive,0.01,21216,0.88,Low,Emerging
2018,New York,Large,Education,Product Manager,Senior,0.06,42934,0.65,Low,Growing
2024,Toronto,Startup,Manufacturing,Software Engineer,Junior,0.62,39241,0.31,High,Growing
2022,Singapore,Enterprise,Retail,Product Manager,Lead,0.46,55599,0.18,Medium,Growing
2010,Tokyo,Enterprise,Healthcare,Data Scientist,Lead,0.17,66649,0.75,Low,Emerging
2024,Paris,Large,Finance,Research Scientist,Lead,0.81,51011,0.11,Medium,Mature
2017,London,Medium,Government,Data Scientist,Mid,0.12,24004,0.81,Low,Growing
2023,London,Medium,Finance,Research Scientist,Intern,0.62,57627,0.32,High,Mature
2025,Dubai,Small,Agriculture,Systems Engineer,Lead,0.03,103163,0.8,Medium,Growing
2019,Bangalore,Medium,Agriculture,ML Engineer,Lead,0.19,79230,0.79,High,Growing
2023,Bangalore,Enterprise,Tech,Business Analyst,Junior,0.51,135983,0.19,High,Mature
2022,Sydney,Enterprise,Education,Policy Analyst,Intern,0.16,22920,0.88,Low,Growing
2016,Bangalore,Large,Manufacturing,ML Engineer,Lead,0.93,114952,0.11,Low,Emerging
2011,Berlin,Large,Manufacturing,Systems Engineer,Lead,0.11,17960,0.76,Medium,Emerging
2025,Singapore,Startup,Agriculture,Systems Engineer,Mid,0.74,105188,0.3,Medium,Growing
2016,Tokyo,Enterprise,Retail,Software Engineer,Junior,0.93,125121,0.29,Low,Emerging
2015,Sao Paulo,Enterprise,Manufacturing,Research Scientist,Intern,0.61,58551,0.11,Medium,Emerging
2024,Nairobi,Large,Energy,Business Analyst,Executive,0.01,44575,0.82,Low,Growing
2019,Nairobi,Medium,Education,Policy Analyst,Intern,0.52,107610,0.15,High,Growing
2014,Sao Paulo,Startup,Education,Research Scientist,Lead,0.01,20340,0.7,Low,Emerging
2021,Berlin,Medium,Healthcare,ML Engineer,Lead,0.09,70050,0.77,High,Growing
2011,Tokyo,Medium,Agriculture,Operations Manager,Lead,0.2,56175,0.71,High,Emerging
2024,Tokyo,Small,Healthcare,Policy Analyst,Mid,0.42,128636,0.18,Low,Growing
2015,Tokyo,Large,Energy,Product Manager,Senior,0.13,63286,0.71,Low,Emerging
2014,Lagos,Small,Healthcare,Operations Manager,Senior,0.14,49587,0.84,Low,Emerging
2014,Sydney,Startup,Agriculture,Software Engineer,Junior,0.03,60473,0.75,High,Emerging
2015,Paris,Large,Retail,Research Scientist,Intern,0.01,66478,0.6,Medium,Emerging
2023,Dubai,Large,Agriculture,ML Engineer,Mid,0.53,137961,0.21,Medium,Growing
2010,London,Startup,Agriculture,Research Scientist,Mid,0.08,63813,0.72,High,Emerging
2025,London,Medium,Healthcare,ML Engineer,Intern,0.83,35423,0.36,High,Growing
2022,Singapore,Startup,Tech,Systems Engineer,Senior,0.09,98063,0.68,Medium,Mature
2019,Singapore,Startup,Education,ML Engineer,Intern,0.1,24220,0.8,Low,Growing
2012,Bangalore,Enterprise,Finance,Operations Manager,Senior,0.17,83438,0.89,High,Emerging
2019,Lagos,Startup,Retail,Research Scientist,Senior,0.19,91864,0.77,Low,Growing
2012,New York,Small,Energy,Business Analyst,Intern,0.05,35049,0.75,Low,Emerging
2016,Seoul,Small,Government,Software Engineer,Intern,0.05,54847,0.85,Medium,Emerging
2018,New York,Small,Government,Policy Analyst,Intern,0.18,23165,0.77,High,Growing
2010,Tokyo,Large,Education,Research Scientist,Mid,0.07,20676,0.76,High,Emerging
2018,Nairobi,Small,Government,Systems Engineer,Junior,0.2,26183,0.82,Medium,Growing
2025,Seoul,Medium,Manufacturing,Product Manager,Mid,0.45,109498,0.18,Medium,Growing
2016,Toronto,Small,Agriculture,Research Scientist,Mid,0.06,22361,0.83,High,Emerging
2015,Toronto,Small,Retail,Systems Engineer,Junior,0.13,42790,0.72,Medium,Emerging
2022,Sao Paulo,Startup,Finance,AI Researcher,Junior,0.82,29987,0.15,Low,Mature
2025,Dubai,Enterprise,Government,Policy Analyst,Executive,0.11,25825,0.76,Medium,Growing
2018,Toronto,Medium,Healthcare,Systems Engineer,Mid,0.66,29598,0.38,Medium,Growing
2017,Nairobi,Large,Healthcare,Policy Analyst,Mid,0.04,58148,0.75,High,Growing
2025,Lagos,Medium,Education,Software Engineer,Junior,0.5,53633,0.31,Medium,Growing
2024,Seoul,Medium,Tech,Data Scientist,Intern,0.83,51971,0.16,Low,Mature
2013,New York,Small,Agriculture,Operations Manager,Executive,0.14,30856,0.79,Low,Emerging
2023,Dubai,Startup,Retail,Software Engineer,Junior,0.4,30215,0.24,High,Growing
2014,Nairobi,Startup,Agriculture,Data Scientist,Executive,0.05,89729,0.83,High,Emerging
2016,Paris,Enterprise,Healthcare,Policy Analyst,Junior,0.15,71530,0.87,Medium,Emerging
2021,Toronto,Medium,Education,Product Manager,Senior,0.13,94188,0.76,Low,Growing
2025,Tokyo,Startup,Education,Operations Manager,Executive,0.54,35074,0.12,Medium,Growing
2011,Sao Paulo,Medium,Finance,Policy Analyst,Executive,0.46,66281,0.16,Low,Emerging
2020,Singapore,Enterprise,Healthcare,Systems Engineer,Executive,0.09,74544,0.9,High,Growing
2024,Bangalore,Startup,Energy,AI Researcher,Junior,0.2,29215,0.9,Medium,Growing
2018,Toronto,Enterprise,Retail,Research Scientist,Intern,0.71,95330,0.2,Medium,Growing
2013,Singapore,Enterprise,Education,Policy Analyst,Executive,0.13,62327,0.76,High,Emerging
2017,Paris,Medium,Energy,Software Engineer,Senior,0.03,74784,0.82,Medium,Growing
2017,Sydney,Startup,Education,Product Manager,Junior,0.09,22987,0.63,High,Growing
2011,Tokyo,Small,Education,Data Scientist,Mid,0.03,66036,0.82,Low,Emerging
2016,Lagos,Enterprise,Education,Research Scientist,Executive,0.05,21131,0.64,Medium,Emerging
2024,Sydney,Startup,Tech,Operations Manager,Lead,0.41,110356,0.17,High,Mature
2019,Paris,Large,Retail,Business Analyst,Senior,0.78,119060,0.4,Low,Growing
2012,Berlin,Enterprise,Energy,Research Scientist,Mid,0.12,60495,0.67,High,Emerging
2014,Lagos,Small,Energy,Product Manager,Junior,0.11,60306,0.76,Medium,Emerging
2016,Nairobi,Small,Finance,Policy Analyst,Lead,0.73,75932,0.12,Low,Emerging
2023,Berlin,Medium,Tech,Product Manager,Senior,0.04,26306,0.66,High,Mature
2011,Sydney,Startup,Agriculture,Policy Analyst,Executive,0.17,17772,0.76,Medium,Emerging
2015,Toronto,Medium,Energy,ML Engineer,Lead,0.01,57792,0.85,Low,Emerging
2016,London,Startup,Government,Operations Manager,Executive,0.14,39724,0.82,High,Emerging
2011,Lagos,Medium,Healthcare,Business Analyst,Mid,0.13,50703,0.65,High,Emerging
2025,Toronto,Enterprise,Government,Software Engineer,Lead,0.12,101301,0.8,High,Growing
2015,Bangalore,Startup,Healthcare,Data Scientist,Intern,0.01,22897,0.85,High,Emerging
2021,Seoul,Startup,Tech,Operations Manager,Junior,0.06,89316,0.83,High,Growing
2011,Nairobi,Enterprise,Finance,Research Scientist,Mid,0.13,21249,0.81,Medium,Emerging
2015,Seoul,Medium,Education,Systems Engineer,Intern,0,29573,0.64,Low,Emerging
2019,Dubai,Enterprise,Manufacturing,AI Researcher,Mid,0.15,56143,0.72,Medium,Growing
2020,Paris,Large,Government,Research Scientist,Executive,0.01,39246,0.8,Medium,Growing
2022,Seoul,Enterprise,Healthcare,Policy Analyst,Mid,0.55,108418,0.21,Low,Growing
2010,Singapore,Enterprise,Government,Policy Analyst,Executive,0.07,29851,0.69,High,Emerging
2019,Lagos,Enterprise,Tech,Research Scientist,Mid,0.07,49639,0.83,Medium,Growing
2013,Paris,Small,Manufacturing,Business Analyst,Junior,0.02,24797,0.63,High,Emerging
2011,Berlin,Startup,Healthcare,Business Analyst,Mid,0.14,59035,0.73,Low,Emerging
2024,Sao Paulo,Large,Manufacturing,Operations Manager,Senior,0.89,55311,0.16,Medium,Growing
2019,Paris,Enterprise,Retail,Policy Analyst,Senior,0.1,37021,0.63,Low,Growing
2020,Berlin,Enterprise,Education,Software Engineer,Lead,0.2,72941,0.81,Medium,Growing
2013,Nairobi,Medium,Energy,ML Engineer,Senior,0.13,33463,0.87,Medium,Emerging
2021,Seoul,Enterprise,Finance,Business Analyst,Intern,0.6,94465,0.31,Medium,Growing
2016,New York,Large,Healthcare,Systems Engineer,Junior,0.95,95495,0.12,High,Emerging
2024,Lagos,Large,Agriculture,Policy Analyst,Lead,0.63,93182,0.32,Low,Growing
2012,Dubai,Enterprise,Healthcare,Operations Manager,Executive,0.2,34460,0.62,Medium,Emerging
2024,Lagos,Large,Agriculture,Operations Manager,Lead,0.56,119760,0.32,High,Growing
2025,Berlin,Small,Finance,Product Manager,Junior,0.55,157355,0.13,Low,Mature
2014,Lagos,Large,Government,Business Analyst,Intern,0.05,38496,0.66,Medium,Emerging
2017,Toronto,Large,Energy,Policy Analyst,Executive,0.03,40332,0.88,Medium,Growing
2018,Sao Paulo,Startup,Manufacturing,Data Scientist,Senior,0.59,91754,0.26,Medium,Growing
2016,Dubai,Startup,Tech,Software Engineer,Lead,0.01,60666,0.67,Low,Emerging
2012,Nairobi,Medium,Government,Data Scientist,Senior,0.14,55664,0.68,Medium,Emerging
2022,Dubai,Large,Healthcare,Data Scientist,Senior,0.9,60811,0.12,Low,Growing
2025,Dubai,Large,Government,Business Analyst,Senior,0.4,126861,0.24,Low,Growing
2015,Lagos,Startup,Agriculture,Software Engineer,Executive,0.13,54030,0.63,Low,Emerging
2019,Singapore,Enterprise,Government,Software Engineer,Junior,0.16,79627,0.7,Medium,Growing
2011,London,Small,Education,Operations Manager,Lead,0.85,38033,0.35,High,Emerging
2014,Sydney,Small,Retail,Policy Analyst,Junior,0.12,21294,0.64,Medium,Emerging
2012,Nairobi,Startup,Tech,AI Researcher,Junior,0.02,77578,0.72,High,Emerging
2012,Dubai,Medium,Manufacturing,Operations Manager,Executive,0.11,57721,0.89,Low,Emerging
2015,Nairobi,Startup,Tech,Software Engineer,Executive,0.06,33823,0.84,Low,Emerging
2012,Nairobi,Large,Education,AI Researcher,Intern,0.07,62673,0.7,Low,Emerging
2023,Sao Paulo,Small,Healthcare,AI Researcher,Mid,0.09,40290,0.82,Low,Growing
2015,Berlin,Small,Retail,Systems Engineer,Lead,0.12,37496,0.78,High,Emerging
2023,Toronto,Enterprise,Education,Policy Analyst,Senior,0.18,28009,0.61,Low,Growing
2021,Seoul,Small,Manufacturing,Operations Manager,Junior,0.02,23794,0.81,High,Growing
2011,Sao Paulo,Large,Manufacturing,Data Scientist,Lead,0.14,58561,0.66,High,Emerging
2015,Sao Paulo,Startup,Agriculture,AI Researcher,Mid,0.15,20505,0.76,Low,Emerging
2025,Toronto,Enterprise,Agriculture,AI Researcher,Senior,0.09,29277,0.87,Medium,Growing
2018,Sao Paulo,Small,Finance,Product Manager,Senior,0.17,43669,0.69,High,Growing
2020,Nairobi,Enterprise,Government,Business Analyst,Junior,0.11,72539,0.77,Medium,Growing
2015,Singapore,Small,Healthcare,Policy Analyst,Executive,0.02,79221,0.73,Medium,Emerging
2019,Lagos,Startup,Finance,Business Analyst,Lead,0.4,123838,0.2,Low,Growing
2013,Sao Paulo,Startup,Manufacturing,Business Analyst,Junior,0.17,75063,0.62,High,Emerging
2016,Lagos,Medium,Government,Systems Engineer,Mid,0.1,66484,0.72,Medium,Emerging
2016,Sydney,Large,Government,ML Engineer,Junior,0.06,83733,0.73,Medium,Emerging
2018,Sydney,Small,Energy,Data Scientist,Mid,0.14,93446,0.66,Low,Growing
2025,Toronto,Medium,Finance,Operations Manager,Executive,0.67,115830,0.21,Medium,Mature
2020,New York,Small,Government,Policy Analyst,Executive,0.01,87209,0.89,Low,Growing
2020,New York,Medium,Manufacturing,Product Manager,Senior,0.14,68542,0.85,Low,Growing
2023,Dubai,Startup,Government,Business Analyst,Intern,0.59,133739,0.23,High,Growing
2016,Sydney,Startup,Healthcare,Software Engineer,Intern,0.15,52127,0.75,Low,Emerging
2013,Dubai,Enterprise,Finance,ML Engineer,Lead,0.42,68186,0.18,High,Emerging
2016,Paris,Small,Manufacturing,Research Scientist,Junior,0.11,87597,0.66,High,Emerging
2020,Toronto,Large,Finance,Business Analyst,Senior,0.6,93741,0.12,Low,Growing
2021,London,Startup,Healthcare,Systems Engineer,Senior,0.1,35173,0.8,Low,Growing
2022,Bangalore,Small,Finance,Operations Manager,Executive,0.15,22853,0.77,Low,Mature
